,Id,EssaySet,Score1,Score2,EssayText
1619,1620,1,3,3,"Some additional information you would need would be the names of the four samples being used in the procedure, the amount of vinegar put in each cup and the size of the cups being used. You would also need to be told to determine the difference in mass."
1620,1621,1,3,3,I would need to know how much vinegar to put in each cup. I would also need to know if the samples had to be anything in paticular. Do you have to have the four samples related to each other or can they be random items? How long do I rinse the sample in distilled water for?
1622,1623,1,3,3,To replicate this experiment you will need to also include what type of sample to get. I could get any thing I saw and it would fit the description in the procedure. You also need to include how big the containers should be and how much vinegar to put into them. You should also include how to find the mass using what measuring system.
1626,1627,1,3,3,"You also would need to know how much vinegar to use, what kind of vinegar to use and the 4 different samples."
1627,1628,1,3,3,"After reading the group's procedure, there is much additional information that i would need in order to replicate the experiment. First off, you would need to know what the samples are, and what size of samples you will testing. Another piece of information that you would need would be the amount of vinegar that you'd pour in the containers (step two). From steps one and six, you are supposed to determine the mass of all four of the samples that to do this you would need to know what you are taking the mass in. (ie grams, pounds,ouples)"
1629,1630,1,3,3,"To replicate this experiment one would have to know what is meant by the word samples, in other words, samples of what? One would would also have to know what type of container each sample be placed in. Should the samples be placed in a beaker  graduated cylinder or a crucible or any other laboratory container? One would also have to know for how long and how vigorously each sample should be washed after 24 hours."
1633,1634,1,3,3,Additional information I would need to know would include several things. I would need to know what the four samples of material are. I would also need to know the amount of vinegar to pour in each container. I would lastly need to know what type or size my containers need to be.
1646,1647,1,3,3,"The additional information that i would need to replicate this experiment is what size containers will be needed what size of marble, limestone, wood and plastic will be needed also what kind of vinegar was used if specified."
1657,1658,1,3,3,To replicate this procedure I'll need to know the size of the containers. I'll need to know the samples and I'll also need to know the amount of vinegar to put in each container. The amount of vinegar and the size of the container could be important variables if they are not the same for each sample.
1658,1659,1,3,3,The additional information I need in order to replicate the experiment is the amount of vinegar I pour in each of the containers; how big or small the containers have to be; and whether or not I should close the containers.
1659,1660,1,3,3,"You would need to know the amount of vinegar poured in each seperate container, also you would need to know what the sample is and if you should put the containers in a very dark or sunny place for 24 hours."
1660,1661,1,3,3,"In order to replicate the experiment I would need to know the amount of vinegar they used in each container, the type of container, what they mean by a four different samples, (if not given data table), as well as the form of the rock, liquids, crushed whole etc)."
1663,1664,1,3,3,"In order to replicate the ""acid rain"" experiment it is essential to know what the samples are.In the step 1 it says to determine the mass of four samples. What are the samples? Also, how are we supposed to find the mass of the sample? In step 2, it says, pour vinegar in each four seperate but identical containers. What is the size of the container and what type of vinegar is used? Also in the 4th step, it says, to rinse each sample with distilled water. For long should the sample be rinsed?"
1667,1668,1,3,3,"The additional information you would need to know from the groups procedure to replicate the experiment is the type of sample, how much vinegar in each container and what s the size of materials that you put in the vinegar."
